Method: GET, Path: /seller_api/, View function: view, Status code: 200, Time taken: 0.005164 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.001008 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.001041 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000807 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000462 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.001148 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000427 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000573 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000385 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000320 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000436 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000539 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000691 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000537 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000342 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000306 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000321 seconds
Method: GET, Path: /favicon.ico, View function: None, Status code: 404, Time taken: 0.000530 seconds
Method: GET, Path: /seller_api/, View function: view, Status code: 200, Time taken: 0.003471 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000579 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.001657 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000368 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000560 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.001223 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000397 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000379 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000574 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000465 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000488 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000451 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000860 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000380 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000306 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000329 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000310 seconds
Method: GET, Path: /admin/, View function: index, Status code: 302, Time taken: 0.023016 seconds
Method: GET, Path: /admin/login/, View function: login, Status code: 200, Time taken: 0.026484 seconds
Method: GET, Path: /static/admin/css/base.css, View function: None, Status code: 404, Time taken: 0.000750 seconds
Method: GET, Path: /static/admin/css/dark_mode.css, View function: None, Status code: 404, Time taken: 0.000672 seconds
Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.000392 seconds
Method: GET, Path: /static/admin/css/nav_sidebar.css, View function: None, Status code: 404, Time taken: 0.000854 seconds
Method: GET, Path: /static/admin/js/nav_sidebar.js, View function: None, Status code: 404, Time taken: 0.000455 seconds
Method: GET, Path: /static/admin/css/login.css, View function: None, Status code: 404, Time taken: 0.000301 seconds
Method: GET, Path: /static/admin/css/responsive.css, View function: None, Status code: 404, Time taken: 0.000389 seconds
Method: GET, Path: /, View function: None, Status code: 404, Time taken: 0.011572 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.496147 seconds
Method: GET, Path: /static/style/style.css, View function: None, Status code: 404, Time taken: 0.001312 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.000921 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.001043 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.000816 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.006927 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.079283 seconds
Method: GET, Path: /static/style/style.css, View function: None, Status code: 404, Time taken: 0.000898 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.000984 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.000607 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.000503 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.000741 seconds
Method: GET, Path: /admin/, View function: index, Status code: 302, Time taken: 0.067709 seconds
Method: GET, Path: /admin/login/, View function: login, Status code: 200, Time taken: 0.030267 seconds
Method: GET, Path: /static/admin/css/dark_mode.css, View function: None, Status code: 404, Time taken: 0.001025 seconds
Method: GET, Path: /static/admin/css/base.css, View function: None, Status code: 404, Time taken: 0.000861 seconds
Method: GET, Path: /static/admin/js/theme.js, View function: None, Status code: 404, Time taken: 0.001121 seconds
Method: GET, Path: /static/admin/css/login.css, View function: None, Status code: 404, Time taken: 0.000915 seconds
Method: GET, Path: /static/admin/js/nav_sidebar.js, View function: None, Status code: 404, Time taken: 0.000572 seconds
Method: GET, Path: /static/admin/css/nav_sidebar.css, View function: None, Status code: 404, Time taken: 0.000819 seconds
Method: GET, Path: /static/admin/css/responsive.css, View function: None, Status code: 404, Time taken: 0.000438 seconds
Method: GET, Path: /admin/login/, View function: login, Status code: 200, Time taken: 0.010157 seconds
Method: GET, Path: /static/admin/css/base.css, View function: None, Status code: 404, Time taken: 0.000841 seconds
Method: GET, Path: /static/admin/css/dark_mode.css, View function: None, Status code: 404, Time taken: 0.000411 seconds
